Google
Amazon
Apple
Microsoft
Meta
Netflix
Adobe
Uber
Bloomberg
Goldman Sachs
Facebook
Salesforce
Oracle
Linkedin
Snap
Tiktok
Twitter
Spotify
Paypal
Nvidia
Intel
Samsung
Cisco
Vmware
Qualcomm
Atlassian
Databricks
Stripe
Doordash
Coinbase
Robinhood
Palantir Technologies
Airbnb
Lyft
Dropbox
Pinterest
Square
Expedia
Yahoo
Intuit
Snowflake
Shopify
Tesla
Bytedance
Citadel
Two Sigma
De Shaw
Jane Street
Roblox
Instacart
